origin_center_point,abstracted_center_point
"HWTEST_F(TelRilCommonTest, TelRilSms_ConvertHexCharToInt_001, Function | MediumTest | Level1)
{
    auto rilInterface = HDI::Ril::V1_4::IRil::Get();
    std::shared_ptr<ObserverHandler> observerHandler = std::make_shared<ObserverHandler>();
    auto telRilSms = std::make_shared<TelRilSms>(0, rilInterface, observerHandler, nullptr);
    uint8_t ch = 'a';
    uint8_t expected = 10;
    uint8_t actual = telRilSms->ConvertHexCharToInt(ch);
    EXPECT_EQ(expected, actual);
}","HWTEST_F(TelRilCommonTest, <TYPE>, Function | MediumTest | Level1) { auto rilInterface = HDI::Ril::V1_4::IRil::Get(); std::shared_ptr<ObserverHandler> observerHandler = std::make_shared<ObserverHandler>(); auto telRilSms = std::make_shared<TelRilSms>(0, rilInterface, observerHandler, nullptr); uint8_t ch = <STR>; uint8_t expected = <CONST>; uint8_t actual = telRilSms->ConvertHexCharToInt(ch); EXPECT_EQ(expected, actual); }"
"HWTEST_F(TelRilCommonTest, TelRilSms_GetSmscAddrResponse_001, Function | MediumTest | Level1)
{
    auto rilInterface = HDI::Ril::V1_4::IRil::Get();
    std::shared_ptr<ObserverHandler> observerHandler = std::make_shared<ObserverHandler>();
    auto telRilSms = std::make_shared<TelRilSms>(0, rilInterface, observerHandler, nullptr);
    HDI::Ril::V1_1::RilRadioResponseInfo responseInfo;
    HDI::Ril::V1_1::ServiceCenterAddress serviceCenterAddress;
    int32_t result = telRilSms->GetSmscAddrResponse(responseInfo, serviceCenterAddress);
    ASSERT_NE(result, 1);
}","HWTEST_F(TelRilCommonTest, <TYPE>, Function | MediumTest | Level1) { auto rilInterface = HDI::Ril::V1_4::IRil::Get(); std::shared_ptr<ObserverHandler> observerHandler = std::make_shared<ObserverHandler>(); auto telRilSms = std::make_shared<TelRilSms>(0, rilInterface, observerHandler, nullptr); HDI::Ril::V1_1::RilRadioResponseInfo responseInfo; HDI::Ril::V1_1::<TYPE> <VAR>; int32_t result = telRilSms->GetSmscAddrResponse(responseInfo, <VAR>); ASSERT_NE(result, 1); }"
"HWTEST_F(TelRilCommonTest, TelRilCall_GetCallListResponse_001, Function | MediumTest | Level1)
{
    auto rilInterface = HDI::Ril::V1_4::IRil::Get();
    std::shared_ptr<ObserverHandler> observerHandler = std::make_shared<ObserverHandler>();
    auto telRilCall = std::make_shared<TelRilCall>(0, rilInterface, observerHandler, nullptr);
    HDI::Ril::V1_1::RilRadioResponseInfo responseInfo;
    responseInfo.error = HDI::Ril::V1_1::RilErrType::RIL_ERR_GENERIC_FAILURE;
    HDI::Ril::V1_1::CallInfoList callInfoList;
    auto result = telRilCall->GetCallListResponse(responseInfo, callInfoList);
    EXPECT_EQ(result, TELEPHONY_ERR_ARGUMENT_INVALID);
}","HWTEST_F(TelRilCommonTest, <TYPE>, Function | MediumTest | Level1) { auto rilInterface = HDI::Ril::V1_4::IRil::Get(); std::shared_ptr<ObserverHandler> observerHandler = std::make_shared<ObserverHandler>(); auto telRilCall = std::make_shared<TelRilCall>(0, rilInterface, observerHandler, nullptr); HDI::Ril::V1_1::RilRadioResponseInfo responseInfo; responseInfo.error = HDI::Ril::V1_1::RilErrType::RIL_ERR_GENERIC_FAILURE; HDI::Ril::V1_1::<TYPE> <VAR>; auto result = telRilCall->GetCallListResponse(responseInfo, <VAR>); EXPECT_EQ(result, TELEPHONY_ERR_ARGUMENT_INVALID); }"
"HWTEST_F(TelRilCommonTest, TelRilCall_GetCallWaitingResponse_001, Function | MediumTest | Level1)
{
    auto rilInterface = HDI::Ril::V1_4::IRil::Get();
    std::shared_ptr<ObserverHandler> observerHandler = std::make_shared<ObserverHandler>();
    auto telRilCall = std::make_shared<TelRilCall>(0, rilInterface, observerHandler, nullptr);
    HDI::Ril::V1_1::RilRadioResponseInfo responseInfo;
    responseInfo.error = HDI::Ril::V1_1::RilErrType::RIL_ERR_GENERIC_FAILURE;
    HDI::Ril::V1_1::CallWaitResult callWaitResult;
    auto result = telRilCall->GetCallWaitingResponse(responseInfo, callWaitResult);
    EXPECT_EQ(result, TELEPHONY_ERR_ARGUMENT_INVALID);
}","HWTEST_F(TelRilCommonTest, <TYPE>, Function | MediumTest | Level1) { auto rilInterface = HDI::Ril::V1_4::IRil::Get(); std::shared_ptr<ObserverHandler> observerHandler = std::make_shared<ObserverHandler>(); auto telRilCall = std::make_shared<TelRilCall>(0, rilInterface, observerHandler, nullptr); HDI::Ril::V1_1::RilRadioResponseInfo responseInfo; responseInfo.error = HDI::Ril::V1_1::RilErrType::RIL_ERR_GENERIC_FAILURE; HDI::Ril::V1_1::<TYPE> <VAR>; auto result = telRilCall->GetCallWaitingResponse(responseInfo, <VAR>); EXPECT_EQ(result, TELEPHONY_ERR_ARGUMENT_INVALID); }"
"HWTEST_F(TelRilCommonTest, TelRilData_NetworkSliceUrspRpt_001, Function | MediumTest | Level1)
{
    auto rilInterface = HDI::Ril::V1_4::IRil::Get();
    std::shared_ptr<ObserverHandler> observerHandler = std::make_shared<ObserverHandler>();
    auto telRilData = std::make_unique<TelRilData>(0, rilInterface, observerHandler, nullptr);
    HDI::Ril::V1_4::NetworkSliceUrspInfo networksliceUrspInfo;
    networksliceUrspInfo.urspInfo.push_back(1);
    auto result = telRilData->NetworkSliceUrspRpt(networksliceUrspInfo);
    ASSERT_EQ(result, TELEPHONY_ERR_SUCCESS);
}","HWTEST_F(TelRilCommonTest, <TYPE>, Function | MediumTest | Level1) { auto rilInterface = HDI::Ril::V1_4::IRil::Get(); std::shared_ptr<ObserverHandler> observerHandler = std::make_shared<ObserverHandler>(); auto telRilData = std::make_unique<TelRilData>(0, rilInterface, observerHandler, nullptr); HDI::Ril::V1_4::<TYPE> <VAR>; <VAR>.<VAR>.push_back(1); auto result = telRilData->NetworkSliceUrspRpt(<VAR>); ASSERT_EQ(result, TELEPHONY_ERR_SUCCESS); }"
"HWTEST_F(IccFileTest, Telephony_IccFile_002, Function | MediumTest | Level1)
{
    std::string imsi = ""ABC"";
    std::shared_ptr<TelRilManager> telRilManager = std::make_shared<TelRilManager>();
    auto simStateManager = std::make_shared<SimStateManager>(telRilManager);
    std::shared_ptr<IccFile> iccFile = std::make_shared<IsimFile>(simStateManager);
    iccFile->Init();
    iccFile->UpdateImsi(imsi);
    std::string ret = iccFile->ObtainMNC();
    EXPECT_TRUE(ret.empty());
}","HWTEST_F(IccFileTest, <TYPE>, Function | MediumTest | Level1) { std::string imsi = ""ABC""; std::shared_ptr<TelRilManager> telRilManager = std::make_shared<TelRilManager>(); auto simStateManager = std::make_shared<SimStateManager>(telRilManager); std::shared_ptr<IccFile> iccFile = std::make_shared<IsimFile>(simStateManager); iccFile->Init(); iccFile->UpdateImsi(imsi); std::string ret = iccFile->ObtainMNC(); EXPECT_TRUE(ret.empty()); }"
"HWTEST_F(IccFileTest, Telephony_IccFile_008, Function | MediumTest | Level1)
{
    std::shared_ptr<TelRilManager> telRilManager = std::make_shared<TelRilManager>();
    auto simStateManager = std::make_shared<SimStateManager>(telRilManager);
    simStateManager = nullptr;
    std::shared_ptr<IccFile> iccFile = std::make_shared<IsimFile>(simStateManager);
    std::shared_ptr<AppExecFwk::EventHandler> handler = nullptr;
    iccFile->filesFetchedObser_ = nullptr;
    iccFile->UnregisterImsiLoaded(handler);
    EXPECT_EQ(iccFile->filesFetchedObser_, nullptr);
}","HWTEST_F(IccFileTest, <TYPE>, Function | MediumTest | Level1) { std::shared_ptr<TelRilManager> telRilManager = std::make_shared<TelRilManager>(); auto simStateManager = std::make_shared<SimStateManager>(telRilManager); simStateManager = nullptr; std::shared_ptr<IccFile> iccFile = std::make_shared<IsimFile>(simStateManager); std::shared_ptr<AppExecFwk::EventHandler> <VAR> = nullptr; iccFile->filesFetchedObser_ = nullptr; iccFile->UnregisterImsiLoaded(<VAR>); EXPECT_EQ(iccFile->filesFetchedObser_, <VAR>); }"
"void SimUtilsTest::SetUpTestCase()
{
    constexpr int permissionNum = 2;
    const char *perms[permissionNum] = {""ohos.permission.GET_TELEPHONY_STATE"",
        ""ohos.permission.SET_TELEPHONY_STATE""};
    NativeTokenInfoParams infoInstance = {.dcapsNum = 0, .permsNum = permissionNum, .aclsNum = 0, .dcaps = nullptr,
        .perms = perms, .acls = nullptr, .processName = ""SimUtilsTest"", .aplStr = ""system_basic"",
    };
    uint64_t tokenId = GetAccessTokenId(&infoInstance);
    SetSelfTokenID(tokenId);
    auto result = Security::AccessToken::AccessTokenKit::ReloadNativeTokenInfo();
    EXPECT_EQ(result, Security::AccessToken::RET_SUCCESS);
}","void <TYPE>::SetUpTestCase() { constexpr int permissionNum = 2; const char *perms[permissionNum] = {""ohos.permission.GET_TELEPHONY_STATE"", ""ohos.permission.SET_TELEPHONY_STATE""}; NativeTokenInfoParams infoInstance = {.dcapsNum = 0, .permsNum = permissionNum, .aclsNum = 0, .dcaps = nullptr, .perms = perms, .acls = nullptr, .processName = <STR>, .aplStr = ""system_basic"", }; uint64_t tokenId = GetAccessTokenId(&infoInstance); SetSelfTokenID(tokenId); auto result = Security::AccessToken::AccessTokenKit::ReloadNativeTokenInfo(); EXPECT_EQ(result, Security::AccessToken::RET_SUCCESS); }"
"HWTEST_F(MultiSimControllerTest, MultiSimControllerTest_GetShowNumber_001, Function | MediumTest | Level1)
{
    std::shared_ptr<TelRilManager> telRilManager = std::make_shared<TelRilManager>();
    auto simStateManager0 = std::make_shared<Telephony::SimStateManager>(telRilManager);
    simStateManager0->Init(0);
    simStateManager0->simStateHandle_->iccState_.simStatus_ = ICC_CONTENT_READY;
    auto simStateManager1 = std::make_shared<Telephony::SimStateManager>(telRilManager);
    simStateManager1->Init(1);
    simStateManager1->simStateHandle_->iccState_.simStatus_ = ICC_CONTENT_READY;
    std::vector<std::shared_ptr<Telephony::SimStateManager>> simStateManager_ = { simStateManager0, simStateManager1 };
    EventFwk::MatchingSkills matchingSkills;
    matchingSkills.AddEvent(CommonEventSupport::COMMON_EVENT_OPERATOR_CONFIG_CHANGED);
    EventFwk::CommonEventSubscribeInfo subcribeInfo(matchingSkills);
    auto simFileManager = std::make_shared<SimFileManager>(subcribeInfo, telRilManager, simStateManager0);
    simFileManager->simFile_ = std::make_shared<SimFile>(simStateManager0);
    simFileManager->simFile_->msisdn_ = ""2164181618486135"";
    std::vector<std::shared_ptr<Telephony::SimFileManager>> simFileManager_ = { simFileManager, nullptr };
    std::shared_ptr<Telephony::MultiSimController> multiSimController =
        std::make_shared<MultiSimController>(telRilManager, simStateManager_, simFileManager_);
    multiSimController->maxCount_ = 2;
    multiSimController->Init();
    std::vector<SimRdbInfo> newCache;
    newCache.resize(1);
    std::u16string showNumber = u"""";
    newCache[0].phoneNumber = ""2164181618486135"";
    multiSimController->simStateManager_ = { simStateManager0, simStateManager1 };
    multiSimController->localCacheInfo_ = newCache;
    int32_t result = multiSimController->GetShowNumber(0, showNumber);
    EXPECT_EQ(result, TELEPHONY_ERR_SUCCESS);
    result = multiSimController->GetShowNumber(1, showNumber);
    newCache[0].phoneNumber = ""2164181618486139"";
    multiSimController->localCacheInfo_ = newCache;
    result = multiSimController->GetShowNumber(0, showNumber);
    EXPECT_EQ(result, TELEPHONY_ERR_SUCCESS);
}","HWTEST_F(MultiSimControllerTest, <TYPE>, Function | MediumTest | Level1) { std::shared_ptr<TelRilManager> telRilManager = std::make_shared<TelRilManager>(); auto simStateManager0 = std::make_shared<Telephony::SimStateManager>(telRilManager); simStateManager0->Init(0); simStateManager0->simStateHandle_->iccState_.simStatus_ = ICC_CONTENT_READY; auto simStateManager1 = std::make_shared<Telephony::SimStateManager>(telRilManager); simStateManager1->Init(1); simStateManager1->simStateHandle_->iccState_.simStatus_ = ICC_CONTENT_READY; std::vector<std::shared_ptr<Telephony::SimStateManager>> simStateManager_ = { simStateManager0, simStateManager1 }; EventFwk::MatchingSkills matchingSkills; matchingSkills.AddEvent(CommonEventSupport::COMMON_EVENT_OPERATOR_CONFIG_CHANGED); EventFwk::CommonEventSubscribeInfo subcribeInfo(matchingSkills); auto simFileManager = std::make_shared<SimFileManager>(subcribeInfo, telRilManager, simStateManager0); simFileManager->simFile_ = std::make_shared<SimFile>(simStateManager0); simFileManager->simFile_->msisdn_ = ""2164181618486135""; std::vector<std::shared_ptr<Telephony::SimFileManager>> simFileManager_ = { simFileManager, nullptr }; std::shared_ptr<Telephony::MultiSimController> multiSimController = std::make_shared<MultiSimController>(telRilManager, simStateManager_, simFileManager_); multiSimController->maxCount_ = 2; multiSimController->Init(); std::vector<SimRdbInfo> newCache; newCache.resize(1); std::u16string showNumber = u""""; newCache[0].phoneNumber = ""2164181618486135""; multiSimController->simStateManager_ = { simStateManager0, simStateManager1 }; multiSimController->localCacheInfo_ = newCache; int32_t result = multiSimController->GetShowNumber(0, showNumber); EXPECT_EQ(result, TELEPHONY_ERR_SUCCESS); result = multiSimController->GetShowNumber(1, showNumber); newCache[0].phoneNumber = ""2164181618486139""; multiSimController->localCacheInfo_ = newCache; result = multiSimController->GetShowNumber(0, showNumber); EXPECT_EQ(result, TELEPHONY_ERR_SUCCESS); }"
"HWTEST_F(SimSmsControllerTest, Telephony_Sim_ProcessEvent_001, Function | MediumTest | Level1)
{
    auto telRilManager_ = std::make_shared<TelRilManager>();
    auto stateManager_ = std::make_shared<SimStateManager>(telRilManager_);
    auto simSmsController = std::make_shared<SimSmsController>(stateManager_);
    AppExecFwk::InnerEvent::Pointer event = AppExecFwk::InnerEvent::Get(SIM_SMS_GET_COMPLETED, 1);
    simSmsController->ProcessEvent(event);
    EXPECT_EQ(simSmsController->loadDone_, true);
}","HWTEST_F(SimSmsControllerTest, <TYPE>, Function | MediumTest | Level1) { auto telRilManager_ = std::make_shared<TelRilManager>(); auto stateManager_ = std::make_shared<SimStateManager>(telRilManager_); auto simSmsController = std::make_shared<SimSmsController>(stateManager_); AppExecFwk::InnerEvent::Pointer event = AppExecFwk::InnerEvent::Get(<TYPE>, 1); simSmsController->ProcessEvent(event); EXPECT_EQ(simSmsController-><VAR>, true); }"
