pattern_completion,sgl_idiom,iter_idiom,final_completion,label,ids,in_train,in_test
"HWTEST_F(TelRilCommonTest, TelRilSms_ConvertHexCharToInt_001, Function | MediumTest | Level1)
{
    auto rilInterface = HDI::Ril::V1_4::IRil::Get();
    std::shared_ptr<ObserverHandler> observerHandler = std::make_shared<ObserverHandler>();
    auto telRilSms = std::make_shared<TelRilSms>(0, rilInterface, observerHandler, nullptr);
    uint8_t ch = 'a';
    uint8_t expected = 10;
    uint8_t actual = telRilSms->ConvertHexCharToInt(ch);
    EXPECT_EQ(expected, actual);
}",,,"Yes, the Code Fragment is a legitimate code idiom. Because the above three steps are satisfied.

<Step 1>: Yes, it possesses clear semantics and the variables have meaningful names. The test function clearly shows that it is testing the conversion of a hexadecimal character to an integer.

<Step 2>: Yes, it is suitable for common application scenarios, such as unit testing a specific functionality of a class, which is a common practice in software development.

<Step 3>: Yes, the [Test Function Structure] provides enough information to infer its purpose and functionality without additional context. It showcases the setup of a test case, execution of functionality, and comparison of expected vs. actual results. This indicates a clear understanding of what the code is intended to do.",1,[0],1,1
"HWTEST_F(TelRilCommonTest, TelRilSms_GetSmscAddrResponse_001, Function | MediumTest | Level1)
{
    auto rilInterface = HDI::Ril::V1_4::IRil::Get();
    std::shared_ptr<ObserverHandler> observerHandler = std::make_shared<ObserverHandler>();
    auto telRilSms = std::make_shared<TelRilSms>(0, rilInterface, observerHandler, nullptr);
    HDI::Ril::V1_1::RilRadioResponseInfo responseInfo;
    HDI::Ril::V1_1::ServiceCenterAddress serviceCenterAddress;
    int32_t result = telRilSms->GetSmscAddrResponse(responseInfo, serviceCenterAddress);
    ASSERT_NE(result, 1);
}",,,"Yes, the Code Fragment is a legitimate code idiom. Because the above three steps are satisfied.

<Step 1>: Yes, it possesses clear semantics and readable variables. The variables and objects used, such as [rilInterface], [observerHandler], [telRilSms], [responseInfo], and [serviceCenterAddress], have meaningful names that communicate their purpose in the context of the code.

<Step 2>: Yes, it is suitable for common application scenarios, particularly in unit testing or integration testing frameworks (as indicated by the use of `HWTEST_F`), where testing methods like `GetSmscAddrResponse` are necessary to validate functionality.

<Step 3>: Yes, the entire block, including the setup of the test case and the assertion `ASSERT_NE(result, 1)`, provides enough information to infer its purpose and functionality. The fragment suggests it is testing that the result from the `GetSmscAddrResponse` method should not equal 1, indicating it checks for specific outcomes of the operation being tested. 

Therefore, the Code Fragment meets the criteria for being a legitimate code idiom.",1,[1],1,1
"HWTEST_F(TelRilCommonTest, TelRilCall_GetCallListResponse_001, Function | MediumTest | Level1)
{
    auto rilInterface = HDI::Ril::V1_4::IRil::Get();
    std::shared_ptr<ObserverHandler> observerHandler = std::make_shared<ObserverHandler>();
    auto telRilCall = std::make_shared<TelRilCall>(0, rilInterface, observerHandler, nullptr);
    HDI::Ril::V1_1::RilRadioResponseInfo responseInfo;
    responseInfo.error = HDI::Ril::V1_1::RilErrType::RIL_ERR_GENERIC_FAILURE;
    HDI::Ril::V1_1::CallInfoList callInfoList;
    auto result = telRilCall->GetCallListResponse(responseInfo, callInfoList);
    EXPECT_EQ(result, TELEPHONY_ERR_ARGUMENT_INVALID);
}",,,"Yes, the Code Fragment is a legitimate code idiom. Because the above three steps are satisfied.

<Step 1>: Yes, it possesses clear semantics with readable variables. The use of descriptive variable names such as [rilInterface], [observerHandler], and [telRilCall] improves clarity. The function appears to test a specific functionality in a testing framework context, indicating good use of semantics.

<Step 2>: Yes, it is suitable for common application scenarios, particularly in unit testing of telecommunication-related functionalities. This is a common pattern where various components are initialized and tested, especially in the context of using a framework (e.g., Google Test).

<Step 3>: Yes, the overall structure and content of the function provide enough information to infer its purpose and functionality. The use of specific types and method calls related to a telecommunication interface and the expectation statement ([EXPECT_EQ]) clearly indicates that it is intended to test a specific behavior in the system.",1,[2],1,1
"HWTEST_F(TelRilCommonTest, TelRilCall_GetCallWaitingResponse_001, Function | MediumTest | Level1)
{
    auto rilInterface = HDI::Ril::V1_4::IRil::Get();
    std::shared_ptr<ObserverHandler> observerHandler = std::make_shared<ObserverHandler>();
    auto telRilCall = std::make_shared<TelRilCall>(0, rilInterface, observerHandler, nullptr);
    HDI::Ril::V1_1::RilRadioResponseInfo responseInfo;
    responseInfo.error = HDI::Ril::V1_1::RilErrType::RIL_ERR_GENERIC_FAILURE;
    HDI::Ril::V1_1::CallWaitResult callWaitResult;
    auto result = telRilCall->GetCallWaitingResponse(responseInfo, callWaitResult);
    EXPECT_EQ(result, TELEPHONY_ERR_ARGUMENT_INVALID);
}",,,"Yes, the Code Fragment is a legitimate code idiom. Because the above three steps are satisfied. 
<Step 1>: Yes, it possesses clear semantics and readable variables. The use of descriptive class names like [TelRilCommonTest], methods, and variables provides clarity.
<Step 2>: Yes, it is suitable for common application scenarios, such as unit testing in a software testing framework, where functionality is being validated.
<Step 3>: Yes, the structure of the test case, including the setup of objects, calling methods, and expectations, provides enough information to infer its purpose and functionality without needing additional context. The intention to test a specific functionality of the [TelRilCall] class is clear.",1,[3],1,1
"HWTEST_F(TelRilCommonTest, TelRilData_NetworkSliceUrspRpt_001, Function | MediumTest | Level1)
{
    auto rilInterface = HDI::Ril::V1_4::IRil::Get();
    std::shared_ptr<ObserverHandler> observerHandler = std::make_shared<ObserverHandler>();
    auto telRilData = std::make_unique<TelRilData>(0, rilInterface, observerHandler, nullptr);
    HDI::Ril::V1_4::NetworkSliceUrspInfo networksliceUrspInfo;
    networksliceUrspInfo.urspInfo.push_back(1);
    auto result = telRilData->NetworkSliceUrspRpt(networksliceUrspInfo);
    ASSERT_EQ(result, TELEPHONY_ERR_SUCCESS);
}",,,"Yes, the Code Fragment is a legitimate code idiom. Because the above three steps are satisfied.

<Step 1>: Yes, it possesses clear semantics with readable variables. The code uses clear variable names (e.g., [rilInterface], [observerHandler], [telRilData]) that convey their purpose. The structure indicates setup for a test case.

<Step 2>: Yes, it is suitable for common application scenarios, particularly in unit testing frameworks, where you are testing specific functionality (in this case, a method related to telecommunications data).

<Step 3>: Yes, the entire structure of the test case, including the setup and assertion (using [ASSERT_EQ]), provides sufficient context and information to infer its purpose and functionality without needing additional context. It showcases typical testing practices in C++.",1,[4],1,1
"class DemoHandler : public AppExecFwk::EventHandler {
public:
    explicit DemoHandler(std::shared_ptr<AppExecFwk::EventRunner> &runner) : AppExecFwk::EventHandler(runner) {}
    virtual ~DemoHandler() {}
    void ProcessEvent(const AppExecFwk::InnerEvent::Pointer &event) {}
}",,,"Yes, the Code Fragment is a legitimate code idiom. Because the above three steps are satisfied.

<Step 1>: Yes, it possesses clear semantics and the variable names are readable. The class `DemoHandler` clearly indicates its purpose, and the constructor and member function have well-defined roles.

<Step 2>: Yes, it is suitable for common application scenarios, particularly in event-driven programming where handling events is a standard practice.

<Step 3>: Yes, the structure of the class, including the constructor, destructor, and the `ProcessEvent` method, provides enough information to infer its purpose and functionality without additional context. It suggests that `DemoHandler` is intended to handle specific events within an event loop, which is a common idiomatic pattern in object-oriented programming.",1,[5],1,1
"HWTEST_F(IccFileTest, Telephony_IccFile_002, Function | MediumTest | Level1)
{
    std::string imsi = ""ABC"";
    std::shared_ptr<TelRilManager> telRilManager = std::make_shared<TelRilManager>();
    auto simStateManager = std::make_shared<SimStateManager>(telRilManager);
    std::shared_ptr<IccFile> iccFile = std::make_shared<IsimFile>(simStateManager);
    iccFile->Init();
    iccFile->UpdateImsi(imsi);
    std::string ret = iccFile->ObtainMNC();
    EXPECT_TRUE(ret.empty());
}",,,"Yes, the Code Fragment is a legitimate code idiom. Because the above three steps are satisfied.

<Step 1>: Yes, it possesses clear semantics and readable variables. The code is well-structured, and variable names like [imsi], [telRilManager], [simStateManager], and [iccFile] are descriptive, indicating their purposes.

<Step 2>: Yes, it is suitable for common application scenarios, such as testing functionalities in a Telephony or SIM File management context. It follows a typical pattern for unit testing with Google Test (gtest) by initializing objects, invoking methods, and making assertions.

<Step 3>: Yes, the [Test Function with Initialization and Assertions] provides sufficient information to infer its purpose and functionality without additional context. The use of [EXPECT_TRUE(ret.empty())] indicates that the test is checking for a specific condition related to the IMSI being processed, which clearly conveys the test's intent.",1,[6],1,1
"void SimUtilsTest::SetUpTestCase()
{
    constexpr int permissionNum = 2;
    const char *perms[permissionNum] = {""ohos.permission.GET_TELEPHONY_STATE"",
        ""ohos.permission.SET_TELEPHONY_STATE""};
    NativeTokenInfoParams infoInstance = {.dcapsNum = 0, .permsNum = permissionNum, .aclsNum = 0, .dcaps = nullptr,
        .perms = perms, .acls = nullptr, .processName = ""SimUtilsTest"", .aplStr = ""system_basic"",
    };
    uint64_t tokenId = GetAccessTokenId(&infoInstance);
    SetSelfTokenID(tokenId);
    auto result = Security::AccessToken::AccessTokenKit::ReloadNativeTokenInfo();
    EXPECT_EQ(result, Security::AccessToken::RET_SUCCESS);
}",,,"Yes, the Code Fragment is a legitimate code idiom. Because the above three steps are satisfied.

<Step 1>: Yes, it possesses clear semantics with well-defined variable names. The use of `constexpr`, `const`, and structured initialization clearly indicates the role of each variable (e.g., `permissionNum`, `perms`, `infoInstance`).

<Step 2>: Yes, it is suitable for common application scenarios, such as setting up test cases in unit tests. The initialization and setup for permissions and tokens are common tasks when preparing for tests related to access control or security features.

<Step 3>: Yes, the entire function provides sufficient information to infer its purpose and functionality. It clearly illustrates the setup process for a test case associated with security token management, and the use of assertions (e.g., `EXPECT_EQ`) indicates a testing context.

Overall, the structure and clarity of the function suggest that it conveys its intention effectively and could be reused in similar contexts.",1,[7],1,1
"const char *perms[permissionNum] = {""ohos.permission.GET_TELEPHONY_STATE"",
        ""ohos.permission.SET_TELEPHONY_STATE""};",,,"Yes, the Code Fragment is a legitimate code idiom. Because the above three steps are satisfied.

<Step 1>: Yes, it possesses clear semantics and readable variable names. The variable [perms] is an array of constant character pointers, which suggests it holds a list of permission strings.

<Step 2>: Yes, it is suitable for common application scenarios, such as storing permission strings in a permission management context, which is often found in mobile and application development.

<Step 3>: Yes, the [Array Initialization Statement] provides sufficient information to infer its purpose and functionality, as it directly indicates that it is a list of permissions to be used, likely for checking or requesting permissions in an application.",1,[8],1,1
"HWTEST_F(MultiSimControllerTest, MultiSimControllerTest_GetShowNumber_001, Function | MediumTest | Level1)
{
    std::shared_ptr<TelRilManager> telRilManager = std::make_shared<TelRilManager>();
    auto simStateManager0 = std::make_shared<Telephony::SimStateManager>(telRilManager);
    simStateManager0->Init(0);
    simStateManager0->simStateHandle_->iccState_.simStatus_ = ICC_CONTENT_READY;
    auto simStateManager1 = std::make_shared<Telephony::SimStateManager>(telRilManager);
    simStateManager1->Init(1);
    simStateManager1->simStateHandle_->iccState_.simStatus_ = ICC_CONTENT_READY;
    std::vector<std::shared_ptr<Telephony::SimStateManager>> simStateManager_ = { simStateManager0, simStateManager1 };
    EventFwk::MatchingSkills matchingSkills;
    matchingSkills.AddEvent(CommonEventSupport::COMMON_EVENT_OPERATOR_CONFIG_CHANGED);
    EventFwk::CommonEventSubscribeInfo subcribeInfo(matchingSkills);
    auto simFileManager = std::make_shared<SimFileManager>(subcribeInfo, telRilManager, simStateManager0);
    simFileManager->simFile_ = std::make_shared<SimFile>(simStateManager0);
    simFileManager->simFile_->msisdn_ = ""2164181618486135"";
    std::vector<std::shared_ptr<Telephony::SimFileManager>> simFileManager_ = { simFileManager, nullptr };
    std::shared_ptr<Telephony::MultiSimController> multiSimController =
        std::make_shared<MultiSimController>(telRilManager, simStateManager_, simFileManager_);
    multiSimController->maxCount_ = 2;
    multiSimController->Init();
    std::vector<SimRdbInfo> newCache;
    newCache.resize(1);
    std::u16string showNumber = u"""";
    newCache[0].phoneNumber = ""2164181618486135"";
    multiSimController->simStateManager_ = { simStateManager0, simStateManager1 };
    multiSimController->localCacheInfo_ = newCache;
    int32_t result = multiSimController->GetShowNumber(0, showNumber);
    EXPECT_EQ(result, TELEPHONY_ERR_SUCCESS);
    result = multiSimController->GetShowNumber(1, showNumber);
    newCache[0].phoneNumber = ""2164181618486139"";
    multiSimController->localCacheInfo_ = newCache;
    result = multiSimController->GetShowNumber(0, showNumber);
    EXPECT_EQ(result, TELEPHONY_ERR_SUCCESS);
}",,,"Yes, the Code Fragment is a legitimate code idiom. Because the above three steps are satisfied.

<Step 1>: Yes, it possesses clear semantics and readable variables. The function is well-structured with clear naming conventions, and uses understandable variable names that indicate their purpose (e.g., `telRilManager`, `simStateManager0`, etc.).

<Step 2>: Yes, it is suitable for common application scenarios, particularly in testing environments where multiple SIM state management scenarios are being validated. It demonstrates setting up test data and expectations, which is a common practice in unit testing frameworks.

<Step 3>: Yes, the entire function provides enough information to infer its purpose and functionality without external context. The sequence of operations indicates that it is testing the functionality of a multi-SIM controller, showcasing the setup of different states and comparing expected outcomes with actual results. The presence of `EXPECT_EQ` statements makes it clear that the function is meant for evaluating the success of operations. 

Overall, this code fragment is not only coherent but encapsulates the behavior typical of well-structured unit test cases.",1,[9],1,0
